timestamps,Delta,Theta,Alpha,Beta,Gamma,Label
254409.097,-48.8488475699759,18.09251290069921,-22.413955077238946,-65.94414914119531,562.4159950194803,right
254409.101,-51.529517282295295,19.966233118195795,-20.48509959003047,-21.74635976362098,-115.99585145013168,right
254409.105,-54.06656248779302,21.42644448393545,-16.94375958270737,10.911218823358144,-322.2795515561854,right
254409.109,-56.446230761845854,22.376847376087973,-12.10937069478646,31.632651401342013,-74.16752660703875,right
254409.112,-58.6641992270905,22.722307200235853,-6.422935018347334,42.53476250695668,280.39291876925347,right
254409.116,-60.715894874651326,22.39078556475771,-0.3560813792851716,50.25894107145397,264.8806447876027,right
254409.12,-62.58287019979129,21.36019592627409,5.687579855369897,63.74397852512397,-591.9980616804894,right
254409.124,-64.23863104023339,19.648931565597906,11.36784906571869,80.07813345024732,-399.4466778045525,right
254409.128,-65.6656144342739,17.285912021944696,16.348061893109442,79.9537085609751,741.8853931022117,right
254409.132,-66.85395772436169,14.312228859057685,20.319230391500348,48.289786045198106,517.7313832783657,right
254409.135,-67.78525894147552,10.807826007305442,23.085357256591816,-5.776907715315767,-541.3107747855868,right
254409.139,-68.432089005374,6.88879028293451,24.564591498381724,-58.3762916411687,-622.6833785338075,right
254409.143,-68.77460696149421,2.674037844155225,24.70938099004801,-93.20594664430844,391.52248342043214,right
254409.147,-68.80636642485993,-1.7285117911805166,23.482725531875,-105.50815237331148,554.0947665880897,right
254409.147,-68.52578964656362,-6.210174746298451,20.90493257787687,-93.60772131178338,-351.75544306809167,right
254409.151,-67.9339471271654,-10.660638205189962,17.07155281104966,-59.179500237792126,-300.33562567718974,right
254409.154,-67.04229292403303,-14.983975252092828,12.12618007796502,-12.57605270516083,188.2094494091365,right
254409.158,-65.8760722866644,-19.106005470637367,6.2545737163482125,31.071699900151557,193.12170728981533,right
254409.162,-64.46716871675554,-22.962413537037143,-0.2769067512046554,62.45285750171949,44.1378188419621,right
254409.165,-62.84642734363905,-26.48603612363699,-7.093287634218429,81.1479780949679,-312.6122373125156,right
254409.169,-61.04632169488484,-29.612552202261543,-13.745183371765268,87.78300685016356,-182.29453800474332,right
254409.173,-59.10568029759245,-32.289709558627,-19.76304702301348,79.6575823910033,452.1835861927654,right
254409.176,-57.05960091645572,-34.461021202583844,-24.65530090666154,58.60944257206923,281.41757768439874,right
254409.18,-54.92428481582325,-36.04228006092258,-27.900599450567608,34.56596049455615,-623.1411372786486,right
254409.184,-52.70227039236001,-36.93559176146528,-29.044513088874982,12.345071905342175,-424.29524585405727,right
254409.187,-50.400253972106,-37.06563296758877,-27.844311734183112,-16.605430311347916,701.7623005063264,right
